sigm,mum,success_rate,avg_pval,avg_incrt,avg_incrt_w_n,avg_correct_ranking
163.0,507.0,0.923,0.13930745054467697,0.08471111111111175,0.021177777777777716,0.391
126.0,515.0,0.942,0.13208201844877382,0.0711666666666672,0.02028888888888883,0.407
104.0,562.0,0.94,0.12016334342121186,0.05450000000000048,0.018888888888888834,0.435
30.0,578.0,0.938,0.12679285618471037,0.027388888888889133,0.018855555555555497,0.432
0.0,500.0,0.924,0.1398975902791692,0.019466666666666608,0.019499999999999976,0.411
89.0,523.0,0.934,0.12206935709722797,0.05496666666666711,0.01933333333333328,0.42
52.0,531.0,0.93,0.12810673843611164,0.038400000000000406,0.019866666666666605,0.419
15.0,539.0,0.952,0.10557113774481092,0.022811111111111258,0.01886666666666661,0.441
178.0,546.0,0.938,0.12061187141018166,0.08474444444444477,0.02039999999999994,0.408
141.0,554.0,0.951,0.11058791120126352,0.07056666666666725,0.019244444444444387,0.414
67.0,570.0,0.953,0.11310942220804197,0.04152222222222266,0.018822222222222167,0.423
193.0,585.0,0.926,0.13065837105540634,0.0869555555555561,0.019866666666666605,0.407
156.0,593.0,0.934,0.12019874364233032,0.0746222222222228,0.02021111111111105,0.406
119.0,601.0,0.927,0.1363961228940199,0.05765555555555601,0.01813333333333328,0.445
82.0,609.0,0.942,0.1102215452534599,0.04577777777777822,0.018122222222222168,0.443
45.0,617.0,0.95,0.11077489639113526,0.029577777777778088,0.017033333333333282,0.471
