nop,mum,success_rate,avg_pval,avg_incrt,avg_incrt_w_n
2.0,500.0,0.9755,0.04285072635113324,0.06375,0.025
2.0,700.0,0.985,0.03660128339693424,0.0465,0.0155
2.0,600.0,0.9795,0.039468451241740005,0.05375,0.0215
2.0,1000.0,0.9875,0.026874530532595968,0.033,0.013
2.0,520.0,0.982,0.03623379962764272,0.0555,0.019
2.0,800.0,0.9805,0.03500235859343801,0.04475,0.02
2.0,900.0,0.984,0.029621670864019903,0.0365,0.0165
2.0,720.0,0.99,0.030663502127553286,0.03825,0.0105
2.0,1100.0,0.9885,0.024990319679247055,0.0295,0.012
2.0,1700.0,0.991,0.019814819395673807,0.0205,0.0095
2.0,1200.0,0.9845,0.02444145600080153,0.03325,0.0165
2.0,540.0,0.9805,0.046407657972201276,0.05875,0.02
2.0,1300.0,0.9865,0.029685361301346923,0.0315,0.014
2.0,620.0,0.985,0.031223632429339763,0.04825,0.0155
2.0,1400.0,0.988,0.0227613209573,0.02375,0.0125
2.0,1020.0,0.9855,0.029997268249637766,0.03325,0.015
2.0,1500.0,0.9905,0.024537615340671625,0.026,0.0095
2.0,1600.0,0.993,0.020925732910581554,0.022,0.0075
5.0,500.0,0.9615,0.07831448052480353,0.06214999999999918,0.019600000000000124
2.0,740.0,0.9855,0.031039980114515087,0.04075,0.015
2.0,560.0,0.985,0.037225323641593394,0.052,0.0155
2.0,820.0,0.9905,0.028262490379811277,0.039,0.01
2.0,1800.0,0.991,0.022092483167865756,0.02225,0.0095
2.0,1900.0,0.9905,0.019683275886394416,0.02225,0.00925
2.0,920.0,0.987,0.03445181066432188,0.03725,0.0135
2.0,640.0,0.983,0.04142580355380226,0.0485,0.0175
2.0,580.0,0.9805,0.041566959882957284,0.05475,0.019
2.0,760.0,0.9835,0.035917395325722246,0.04125,0.017
2.0,1040.0,0.987,0.02642371852199189,0.03325,0.0135
2.0,1120.0,0.9895,0.02692036399373279,0.031,0.011
2.0,1720.0,0.9855,0.024862334568921767,0.02825,0.015
2.0,1220.0,0.9925,0.02287014886379073,0.0245,0.008
2.0,840.0,0.983,0.03577942879650211,0.0425,0.0175
2.0,1320.0,0.993,0.025649557747237994,0.02575,0.0075
2.0,660.0,0.987,0.036650374518682756,0.04625,0.0135
2.0,780.0,0.988,0.030305087415673896,0.04,0.0125
2.0,1420.0,0.988,0.02483280157155822,0.0275,0.0125
2.0,940.0,0.9815,0.030786963218144867,0.0395,0.019
2.0,1060.0,0.988,0.030054247832788126,0.03225,0.0125
2.0,1520.0,0.9905,0.02110024897235036,0.02475,0.0105
2.0,1620.0,0.9915,0.021732367967830617,0.0195,0.009
5.0,520.0,0.962,0.0825852507990601,0.055699999999999264,0.018275000000000118
2.0,1140.0,0.989,0.028537392906931747,0.0295,0.0115
5.0,600.0,0.955,0.07799440832400172,0.05144999999999923,0.017500000000000102
2.0,680.0,0.9875,0.02985834564137796,0.04525,0.014
2.0,860.0,0.9855,0.030564052860224282,0.03975,0.0145
2.0,1740.0,0.989,0.022649965910016,0.0235,0.0115
2.0,1820.0,0.993,0.017045350670879852,0.019,0.0075
2.0,1240.0,0.9895,0.027870391348739493,0.02825,0.011
2.0,1920.0,0.9925,0.020846960355896022,0.01975,0.008
2.0,1080.0,0.9865,0.02969210856913725,0.0285,0.014
2.0,960.0,0.9905,0.031232227582828113,0.03025,0.01
2.0,1340.0,0.989,0.020952720007427185,0.024,0.0115
5.0,700.0,0.9685,0.06787736013924385,0.04602499999999938,0.017150000000000082
2.0,1440.0,0.9905,0.02427942177207217,0.02475,0.01
2.0,880.0,0.984,0.03193675452175336,0.0405,0.017
2.0,1540.0,0.989,0.026745648504550558,0.02225,0.0115
2.0,1160.0,0.9875,0.028871592419474134,0.02975,0.013
2.0,1760.0,0.991,0.021666245140171347,0.0185,0.01
5.0,620.0,0.9665,0.07283739358880777,0.04969999999999937,0.017400000000000106
2.0,1640.0,0.9895,0.024608362662450776,0.0235,0.012
2.0,980.0,0.989,0.0260986736596512,0.03375,0.012
2.0,1260.0,0.9855,0.028881136812803573,0.03025,0.015
5.0,540.0,0.955,0.07953629178487716,0.05904999999999913,0.02082500000000014
2.0,1360.0,0.989,0.02327363975971773,0.02225,0.0115
2.0,1840.0,0.987,0.021049196022445253,0.024,0.0135
5.0,900.0,0.973,0.06086805307695427,0.03747499999999957,0.01430000000000005
