,avg_incrt,avg_incrt_w_n,avg_pval,mum,nop,success_rate
0,0.06375,0.025,0.04285072635113324,500,2,0.9755
1,0.0555,0.019,0.03623379962764272,520,2,0.982
2,0.05875,0.02,0.046407657972201276,540,2,0.9805
3,0.052,0.0155,0.037225323641593394,560,2,0.985
4,0.05475,0.019,0.041566959882957284,580,2,0.9805
5,0.05375,0.0215,0.039468451241740005,600,2,0.9795
6,0.04825,0.0155,0.031223632429339763,620,2,0.985
7,0.0485,0.0175,0.04142580355380226,640,2,0.983
8,0.04625,0.0135,0.036650374518682756,660,2,0.987
9,0.04525,0.014,0.02985834564137796,680,2,0.9875
10,0.0465,0.0155,0.03660128339693424,700,2,0.985
11,0.03825,0.0105,0.030663502127553286,720,2,0.99
12,0.04075,0.015,0.031039980114515087,740,2,0.9855
13,0.04125,0.017,0.035917395325722246,760,2,0.9835
14,0.04,0.0125,0.030305087415673896,780,2,0.988
15,0.04475,0.02,0.03500235859343801,800,2,0.9805
16,0.039,0.01,0.028262490379811277,820,2,0.9905
17,0.0425,0.0175,0.03577942879650211,840,2,0.983
18,0.03975,0.0145,0.030564052860224282,860,2,0.9855
19,0.0405,0.017,0.03193675452175336,880,2,0.984
20,0.0365,0.0165,0.029621670864019903,900,2,0.984
21,0.03725,0.0135,0.03445181066432188,920,2,0.987
22,0.0395,0.019,0.030786963218144867,940,2,0.9815
23,0.03025,0.01,0.031232227582828113,960,2,0.9905
24,0.03375,0.012,0.0260986736596512,980,2,0.989
25,0.033,0.013,0.026874530532595968,1000,2,0.9875
26,0.03325,0.015,0.029997268249637766,1020,2,0.9855
27,0.03325,0.0135,0.02642371852199189,1040,2,0.987
28,0.03225,0.0125,0.030054247832788126,1060,2,0.988
29,0.0285,0.014,0.02969210856913725,1080,2,0.9865
30,0.0295,0.012,0.024990319679247055,1100,2,0.9885
31,0.031,0.011,0.02692036399373279,1120,2,0.9895
32,0.0295,0.0115,0.028537392906931747,1140,2,0.989
33,0.02975,0.013,0.028871592419474134,1160,2,0.9875
34,0.03025,0.014,0.028745271144472735,1180,2,0.986
35,0.03325,0.0165,0.02444145600080153,1200,2,0.9845
36,0.0245,0.008,0.02287014886379073,1220,2,0.9925
37,0.02825,0.011,0.027870391348739493,1240,2,0.9895
38,0.03025,0.015,0.028881136812803573,1260,2,0.9855
39,0.02775,0.012,0.02312259778106413,1280,2,0.9885
40,0.0315,0.014,0.029685361301346923,1300,2,0.9865
41,0.02575,0.0075,0.025649557747237994,1320,2,0.993
42,0.024,0.0115,0.020952720007427185,1340,2,0.989
43,0.02225,0.0115,0.02327363975971773,1360,2,0.989
44,0.02375,0.0085,0.02526261687654637,1380,2,0.9915
45,0.02375,0.0125,0.0227613209573,1400,2,0.988
46,0.0275,0.0125,0.02483280157155822,1420,2,0.988
47,0.02475,0.01,0.02427942177207217,1440,2,0.9905
48,0.026,0.01,0.022830870008994662,1460,2,0.9905
49,0.02725,0.013,0.02544712756232737,1480,2,0.9875
50,0.026,0.0095,0.024537615340671625,1500,2,0.9905
51,0.02475,0.0105,0.02110024897235036,1520,2,0.9905
52,0.02225,0.0115,0.026745648504550558,1540,2,0.989
53,0.027,0.0135,0.023168709294618298,1560,2,0.9875
54,0.0215,0.008,0.02204931600097293,1580,2,0.9925
55,0.022,0.0075,0.020925732910581554,1600,2,0.993
56,0.0195,0.009,0.021732367967830617,1620,2,0.9915
57,0.0235,0.012,0.024608362662450776,1640,2,0.9895
58,0.0285,0.0165,0.02632114892579901,1660,2,0.984
59,0.03,0.0135,0.02309005392291352,1680,2,0.9865
60,0.0205,0.0095,0.019814819395673807,1700,2,0.991
61,0.02825,0.015,0.024862334568921767,1720,2,0.9855
62,0.0235,0.0115,0.022649965910016,1740,2,0.989
63,0.0185,0.01,0.021666245140171347,1760,2,0.991
64,0.02425,0.0125,0.02579543873162716,1780,2,0.988
65,0.02225,0.0095,0.022092483167865756,1800,2,0.991
66,0.019,0.0075,0.017045350670879852,1820,2,0.993
67,0.024,0.0135,0.021049196022445253,1840,2,0.987
68,0.02175,0.0105,0.018520839128539107,1860,2,0.9905
69,0.021,0.0095,0.021082202673506658,1880,2,0.991
70,0.02225,0.00925,0.019683275886394416,1900,2,0.9905
71,0.01975,0.008,0.020846960355896022,1920,2,0.9925
72,0.016,0.0075,0.017459930075870208,1940,2,0.993
73,0.016,0.007,0.0162549144847655,1960,2,0.9935
74,0.024,0.011,0.023746100102580586,1980,2,0.989
75,0.06214999999999918,0.019600000000000124,0.07831448052480353,500,5,0.9615
76,0.055699999999999264,0.018275000000000118,0.0825852507990601,520,5,0.962
77,0.05904999999999913,0.02082500000000014,0.07953629178487716,540,5,0.955
78,0.0564499999999992,0.01870000000000011,0.07959637652598862,560,5,0.958
79,0.055674999999999274,0.02017500000000013,0.07442572060700843,580,5,0.9575
80,0.05144999999999923,0.017500000000000102,0.07799440832400172,600,5,0.955
81,0.04969999999999937,0.017400000000000106,0.07283739358880777,620,5,0.9665
82,0.05167499999999932,0.018075000000000088,0.07851049107512584,640,5,0.965
83,0.05039999999999933,0.018500000000000107,0.07667543895614215,660,5,0.959
84,0.04699999999999936,0.016350000000000083,0.06648800331523132,680,5,0.9675
85,0.04602499999999938,0.017150000000000082,0.06787736013924385,700,5,0.9685
86,0.045524999999999344,0.01670000000000009,0.0705219725093274,720,5,0.966
87,0.04552499999999937,0.017450000000000094,0.06860400329844243,740,5,0.965
88,0.04199999999999951,0.016300000000000075,0.06828720650785793,760,5,0.958
89,0.040574999999999535,0.014450000000000063,0.07634017870863916,780,5,0.9625
90,0.04357499999999947,0.01680000000000009,0.06596978301947808,800,5,0.966
91,0.041399999999999465,0.016550000000000092,0.06403113916656793,820,5,0.9705
92,0.041024999999999576,0.016050000000000075,0.06257950049533277,840,5,0.9655
93,0.03824999999999955,0.014300000000000056,0.06634852962730721,860,5,0.9765
94,0.037674999999999494,0.013700000000000056,0.06109871516811069,880,5,0.969
95,0.03747499999999957,0.01430000000000005,0.06086805307695427,900,5,0.973
96,0.03804999999999956,0.014950000000000062,0.05590646218955245,920,5,0.971
97,0.036574999999999566,0.014125000000000052,0.06550280672049241,940,5,0.9695
98,0.03449999999999963,0.015150000000000077,0.06866315756330822,960,5,0.9675
99,0.03439999999999968,0.014350000000000059,0.06049498444110659,980,5,0.969
100,0.03464999999999967,0.013050000000000046,0.05922826928310227,1000,5,0.973
101,0.0327499999999997,0.012950000000000043,0.06371829433078412,1020,5,0.9635
102,0.03442499999999966,0.013700000000000056,0.058186874906017316,1040,5,0.9645
103,0.03287499999999973,0.01380000000000005,0.056489616154227124,1060,5,0.9705
104,0.03137499999999973,0.013275000000000039,0.06111913656079155,1080,5,0.9695
105,0.032899999999999784,0.014400000000000055,0.05680339578872978,1100,5,0.968
106,0.032299999999999746,0.012800000000000042,0.060622857287334374,1120,5,0.969
107,0.029399999999999833,0.011700000000000023,0.05523794563443176,1140,5,0.9785
108,0.031849999999999754,0.01435000000000006,0.056904718821362124,1160,5,0.9735
109,0.03179999999999974,0.013900000000000062,0.05374370405303888,1180,5,0.97
110,0.030074999999999786,0.012425000000000038,0.056136149097157285,1200,5,0.9755
111,0.028549999999999826,0.01225000000000004,0.05393378642270648,1220,5,0.9725
112,0.02809999999999984,0.012000000000000028,0.050669325683377286,1240,5,0.9745
113,0.02762499999999985,0.011950000000000034,0.04623276024951072,1260,5,0.983
114,0.02764999999999984,0.011950000000000034,0.05438207832485583,1280,5,0.97
115,0.028874999999999842,0.012550000000000037,0.05572803882725029,1300,5,0.972
116,0.028449999999999774,0.013150000000000047,0.049813543370159835,1320,5,0.9715
117,0.02814999999999982,0.011825000000000028,0.05441257898898134,1340,5,0.9765
118,0.026299999999999876,0.012000000000000031,0.04745374180881517,1360,5,0.973
119,0.024924999999999854,0.01180000000000003,0.05177775388346356,1380,5,0.9735
120,0.026874999999999857,0.012500000000000037,0.050922140049247375,1400,5,0.975
121,0.02582499999999988,0.012600000000000037,0.05146543882356429,1420,5,0.9725
122,0.025999999999999898,0.011700000000000028,0.04625954536090886,1440,5,0.979
123,0.025099999999999855,0.01100000000000002,0.04922748963350895,1460,5,0.978
124,0.02364999999999993,0.01110000000000002,0.04697278092082639,1480,5,0.976
125,0.025724999999999866,0.011550000000000024,0.048914112497832896,1500,5,0.9765
126,0.025499999999999867,0.013000000000000046,0.04913177723542724,1520,5,0.9735
127,0.024974999999999952,0.012500000000000037,0.05248343316365538,1540,5,0.9715
128,0.023699999999999957,0.011600000000000027,0.04712734304728309,1560,5,0.971
129,0.02399999999999991,0.010200000000000002,0.04740470090609285,1580,5,0.9795
130,0.02529999999999992,0.012650000000000036,0.0486892146862811,1600,5,0.9705
131,0.02369999999999995,0.010400000000000015,0.050992964728318026,1620,5,0.976
132,0.023774999999999904,0.010600000000000009,0.050605211865461075,1640,5,0.98
133,0.023474999999999933,0.013000000000000043,0.04082228740322124,1660,5,0.971
134,0.02407499999999991,0.010850000000000018,0.048339845696497075,1680,5,0.98
135,0.02159999999999994,0.010650000000000014,0.04717052088936972,1700,5,0.977
136,0.023299999999999932,0.010500000000000013,0.04437487565870142,1720,5,0.977
137,0.023374999999999917,0.012500000000000037,0.04091209812613808,1740,5,0.972
138,0.022824999999999956,0.010100000000000005,0.04596809046311315,1760,5,0.977
139,0.02289999999999992,0.010950000000000019,0.04276810222649249,1780,5,0.9795
140,0.02049999999999998,0.009750000000000003,0.04223511781305058,1800,5,0.9805
141,0.021850000000000012,0.010300000000000009,0.042042922263803365,1820,5,0.9745
