,avg_correct_ranking,avg_incrt,avg_incrt_w_n,avg_pval,mum,sigm,success_rate
0,0.349,0.022077777777778102,0.022083333333333684,0.13470044882990947,400,0,0.9265
1,0.4165,0.018144444444444553,0.018111111111111255,0.11283925189735527,600,0,0.9415
2,0.4815,0.015844444444444394,0.01582777777777778,0.09755477262521425,800,0,0.9525
3,0.518,0.013822222222222177,0.013794444444444432,0.09187473035913342,1000,0,0.9585
4,0.5645,0.012722222222222182,0.01273333333333331,0.08479175251929691,1200,0,0.9595
5,0.584,0.011833333333333296,0.011866666666666642,0.07320937066156326,1400,0,0.9635
6,0.593,0.011299999999999965,0.011299999999999982,0.07209352518603068,1600,0,0.964
7,0.6055,0.010633333333333298,0.01064999999999998,0.07242999373616024,1800,0,0.96
8,0.6075,0.010366666666666633,0.010349999999999979,0.06556234502243004,2000,0,0.9655
9,0.3795,0.022072222222222604,0.021872222222222574,0.1377857227887243,400,2,0.9305
10,0.4325,0.018083333333333465,0.017950000000000105,0.12038730141017727,600,2,0.9485
11,0.491,0.015399999999999973,0.015399999999999962,,800,2,0.9455
12,0.511,0.014733333333333315,0.014727777777777737,0.0895972906699201,1000,2,0.9435
13,0.5605,0.012644444444444423,0.012766666666666628,0.08368445369494928,1200,2,0.956
14,0.592,0.011738888888888861,0.011761111111111073,0.07864087744159405,1400,2,0.961
15,0.6175,0.01071666666666664,0.010649999999999969,0.06611264108308705,1600,2,0.96
16,0.6355,0.010144444444444416,0.010105555555555524,0.06901486162550181,1800,2,0.966
17,0.6355,0.009655555555555535,0.00971111111111108,0.07293286027797233,2000,2,0.9625
18,0.3395,0.02328888888888934,0.022622222222222654,,400,4,0.934
19,0.425,0.019011111111111367,0.018522222222222395,0.11402219142551212,600,4,0.9415
20,0.495,0.015905555555555582,0.015466666666666625,0.10287945662327797,800,4,0.944
21,0.5215,0.014700000000000027,0.014483333333333287,0.08489873193135199,1000,4,0.961
22,0.552,0.013055555555555565,0.012866666666666627,0.0791674713936374,1200,4,0.964
23,0.583,0.01157222222222221,0.011666666666666629,0.07519413516796032,1400,4,0.9605
24,0.5945,0.011572222222222208,0.011461111111111075,0.06591428196112711,1600,4,0.9625
25,0.6195,0.010338888888888868,0.010233333333333303,0.06718308429183516,1800,4,0.9585
26,0.6415,0.009988888888888872,0.009972222222222191,0.06443603119553344,2000,4,0.968
