mux,muh,success_rate
-1.92,-2.88,0.785
0.72,-3.92,0.095
-1.28,-3.52,0.333
-4.0,-4.0,0.844
-2.56,-2.24,0.873
-2.64,-3.76,0.747
-3.92,-2.48,0.855
-3.28,-3.12,0.856
-0.56,-2.64,0.4
0.08,-3.28,0.162
3.44,-3.44,0.107
2.08,-3.68,0.104
2.8,-2.8,0.104
0.8,-2.4,0.16
1.44,-3.04,0.1
2.16,-2.16,0.105
-1.84,-2.88,0.794
-2.48,-2.24,0.854
0.8,-3.92,0.088
-1.2,-3.52,0.27
-3.92,-4.0,0.866
-3.84,-2.48,0.841
-2.56,-3.76,0.741
-3.2,-3.12,0.859
-0.48,-2.64,0.384
0.16,-3.28,0.144
0.88,-2.4,0.14
3.52,-3.44,0.1
2.16,-3.68,0.107
2.88,-2.8,0.108
1.52,-3.04,0.116
2.24,-2.16,0.122
-2.4,-2.24,0.847
0.88,-3.92,0.111
-1.12,-3.52,0.289
-1.76,-2.88,0.759
-3.84,-4.0,0.842
-3.76,-2.48,0.87
-2.48,-3.76,0.731
-2.32,-2.24,0.861
-3.12,-3.12,0.85
-0.4,-2.64,0.346
0.24,-3.28,0.103
0.96,-2.4,0.132
2.24,-3.68,0.093
3.6,-3.44,0.105
2.96,-2.8,0.104
1.6,-3.04,0.103
2.32,-2.16,0.111
0.96,-3.92,0.096
-1.04,-3.52,0.245
-1.68,-2.88,0.761
-2.24,-2.24,0.869
-3.76,-4.0,0.845
-3.68,-2.48,0.858
2.4,-2.16,0.102
-3.04,-3.12,0.852
-2.4,-3.76,0.72
-0.96,-3.52,0.23
1.04,-3.92,0.121
-0.32,-2.64,0.34
0.32,-3.28,0.119
1.04,-2.4,0.12
2.32,-3.68,0.096
3.68,-3.44,0.1
3.04,-2.8,0.097
1.68,-3.04,0.107
-1.6,-2.88,0.744
-0.88,-3.52,0.196
2.48,-2.16,0.1
-2.16,-2.24,0.846
-3.68,-4.0,0.818
-3.6,-2.48,0.845
-1.52,-2.88,0.725
-2.96,-3.12,0.841
-2.32,-3.76,0.699
1.12,-3.92,0.099
-0.24,-2.64,0.274
0.4,-3.28,0.114
1.12,-2.4,0.113
2.4,-3.68,0.108
3.76,-3.44,0.114
3.12,-2.8,0.108
1.76,-3.04,0.121
-0.8,-3.52,0.189
2.56,-2.16,0.099
-2.08,-2.24,0.833
-3.52,-2.48,0.849
-3.6,-4.0,0.841
3.2,-2.8,0.094
3.84,-3.44,0.108
-2.88,-3.12,0.852
-1.44,-2.88,0.695
-2.24,-3.76,0.658
1.2,-3.92,0.104
-0.16,-2.64,0.24
0.48,-3.28,0.121
1.2,-2.4,0.129
2.48,-3.68,0.094
2.64,-2.16,0.079
1.84,-3.04,0.098
-0.72,-3.52,0.183
3.92,-3.44,0.098
-2.0,-2.24,0.849
-3.44,-2.48,0.875
3.28,-2.8,0.096
-3.52,-4.0,0.843
-0.08,-2.64,0.249
-2.8,-3.12,0.837
-1.36,-2.88,0.68
-2.16,-3.76,0.638
1.28,-3.92,0.122
0.56,-3.28,0.107
1.28,-2.4,0.126
2.56,-3.68,0.096
2.72,-2.16,0.12
-0.64,-3.52,0.178
1.92,-3.04,0.105
4.0,-3.44,0.098
3.36,-2.8,0.099
0.0,-2.64,0.241
-3.36,-2.48,0.844
-1.92,-2.24,0.836
-3.44,-4.0,0.806
-2.72,-3.12,0.82
-2.08,-3.76,0.592
-4.0,-3.36,0.865
-1.28,-2.88,0.646
1.36,-3.92,0.104
0.64,-3.28,0.101
1.36,-2.4,0.112
0.08,-2.64,0.22
2.64,-3.68,0.099
2.8,-2.16,0.105
2.0,-3.04,0.097
-0.56,-3.52,0.192
3.44,-2.8,0.107
-3.28,-2.48,0.836
-3.92,-3.36,0.856
-2.0,-3.76,0.582
-1.84,-2.24,0.837
-3.36,-4.0,0.817
0.16,-2.64,0.183
-2.64,-3.12,0.817
-1.2,-2.88,0.597
1.44,-3.92,0.071
2.72,-3.68,0.106
-3.84,-3.36,0.841
0.72,-3.28,0.117
1.44,-2.4,0.11
2.88,-2.16,0.104
2.08,-3.04,0.099
-3.2,-2.48,0.859
-0.48,-3.52,0.161
3.52,-2.8,0.083
-1.92,-3.76,0.513
-1.76,-2.24,0.836
-3.28,-4.0,0.805
2.8,-3.68,0.083
-3.76,-3.36,0.855
-2.56,-3.12,0.834
0.24,-2.64,0.201
-3.12,-2.48,0.846
-1.12,-2.88,0.544
1.52,-3.92,0.104
0.8,-3.28,0.105
2.96,-2.16,0.105
1.52,-2.4,0.112
2.16,-3.04,0.088
-0.4,-3.52,0.146
2.88,-3.68,0.098
-1.84,-3.76,0.488
3.6,-2.8,0.098
-3.68,-3.36,0.832
-1.68,-2.24,0.827
-3.2,-4.0,0.796
-3.04,-2.48,0.846
-2.48,-3.12,0.802
0.32,-2.64,0.16
-1.04,-2.88,0.517
1.6,-3.92,0.104
-3.6,-3.36,0.84
2.96,-3.68,0.095
3.04,-2.16,0.091
0.88,-3.28,0.102
1.6,-2.4,0.105
2.24,-3.04,0.105
-0.32,-3.52,0.139
-1.76,-3.76,0.439
3.68,-2.8,0.095
0.4,-2.64,0.15
-1.6,-2.24,0.818
-3.12,-4.0,0.81
-2.96,-2.48,0.85
-3.52,-3.36,0.846
-2.4,-3.12,0.81
-0.96,-2.88,0.486
1.68,-3.92,0.105
3.12,-2.16,0.072
-1.68,-3.76,0.382
3.04,-3.68,0.112
0.96,-3.28,0.099
1.68,-2.4,0.096
2.32,-3.04,0.104
0.48,-2.64,0.137
-0.24,-3.52,0.123
-3.04,-4.0,0.805
3.76,-2.8,0.112
-1.52,-2.24,0.812
-2.88,-2.48,0.842
-2.32,-3.12,0.806
-3.44,-3.36,0.859
3.2,-2.16,0.101
-0.88,-2.88,0.447
-2.96,-4.0,0.772
1.76,-3.92,0.092
-1.6,-3.76,0.367
3.12,-3.68,0.094
1.76,-2.4,0.127
1.04,-3.28,0.102
2.4,-3.04,0.092
0.56,-2.64,0.144
-3.36,-3.36,0.859
-0.16,-3.52,0.143
3.84,-2.8,0.094
-1.44,-2.24,0.823
