,$\mu_h$,$\mu_x$,success_rate
0,-4,-4,0.844
1,-4,-3.92,0.866
2,-4,-3.84,0.842
3,-4,-3.76,0.845
4,-4,-3.68,0.818
5,-4,-3.6,0.841
6,-4,-3.52,0.843
7,-4,-3.44,0.806
8,-4,-3.36,0.817
9,-4,-3.28,0.805
10,-4,-3.2,0.796
11,-4,-3.12,0.81
12,-4,-3.04,0.805
13,-4,-2.96,0.772
14,-4,-2.88,0.752
15,-4,-2.8,0.77
16,-4,-2.72,0.719
17,-4,-2.64,0.73
18,-4,-2.56,0.695
19,-4,-2.48,0.656
20,-4,-2.4,0.642
21,-4,-2.32,0.587
22,-4,-2.24,0.583
23,-4,-2.16,0.502
24,-4,-2.08,0.499
25,-4,-2,0.452
26,-4,-1.92,0.411
27,-4,-1.84,0.398
28,-4,-1.76,0.327
29,-4,-1.68,0.313
30,-4,-1.6,0.278
31,-4,-1.52,0.243
32,-4,-1.44,0.243
33,-4,-1.36,0.225
34,-4,-1.28,0.168
35,-4,-1.2,0.16
36,-4,-1.12,0.196
37,-4,-1.04,0.149
38,-4,-0.96,0.145
39,-4,-0.88,0.141
40,-4,-0.8,0.141
41,-4,-0.72,0.126
42,-4,-0.64,0.121
43,-4,-0.56,0.147
44,-4,-0.48,0.141
45,-4,-0.4,0.131
46,-4,-0.32,0.104
47,-4,-0.24,0.125
48,-4,-0.16,0.124
49,-4,-0.08,0.107
50,-4,0,0.13
51,-4,0.08,0.096
52,-4,0.16,0.106
53,-4,0.24,0.106
54,-4,0.32,0.107
55,-4,0.4,0.09
56,-4,0.48,0.106
57,-4,0.56,0.11
58,-4,0.64,0.118
59,-4,0.72,0.115
60,-4,0.8,0.097
61,-4,0.88,0.094
62,-4,0.96,0.106
63,-4,1.04,0.11
64,-4,1.12,0.107
65,-4,1.2,0.128
66,-4,1.28,0.109
67,-4,1.36,0.103
68,-4,1.44,0.092
69,-4,1.52,0.11
70,-4,1.6,0.075
71,-4,1.68,0.091
72,-4,1.76,0.089
73,-4,1.84,0.102
74,-4,1.92,0.092
75,-4,2,0.099
76,-4,2.08,0.114
77,-4,2.16,0.115
78,-4,2.24,0.111
79,-4,2.32,0.1
80,-4,2.4,0.109
81,-4,2.48,0.118
82,-4,2.56,0.092
83,-4,2.64,0.105
84,-4,2.72,0.095
85,-4,2.8,0.09
86,-4,2.88,0.104
87,-4,2.96,0.098
88,-4,3.04,0.097
89,-4,3.12,0.102
90,-4,3.2,0.094
91,-4,3.28,0.099
92,-4,3.36,0.103
93,-4,3.44,0.102
94,-4,3.52,0.113
95,-4,3.6,0.11
96,-4,3.68,0.108
97,-4,3.76,0.11
98,-4,3.84,0.105
99,-4,3.92,0.085
100,-4,4,0.078
101,-3.92,-4,0.861
102,-3.92,-3.92,0.846
103,-3.92,-3.84,0.859
104,-3.92,-3.76,0.845
105,-3.92,-3.68,0.837
106,-3.92,-3.6,0.829
107,-3.92,-3.52,0.827
108,-3.92,-3.44,0.84
109,-3.92,-3.36,0.801
110,-3.92,-3.28,0.838
111,-3.92,-3.2,0.799
112,-3.92,-3.12,0.821
113,-3.92,-3.04,0.801
114,-3.92,-2.96,0.799
115,-3.92,-2.88,0.75
116,-3.92,-2.8,0.754
117,-3.92,-2.72,0.752
118,-3.92,-2.64,0.734
119,-3.92,-2.56,0.728
120,-3.92,-2.48,0.7
121,-3.92,-2.4,0.68
122,-3.92,-2.32,0.657
123,-3.92,-2.24,0.59
124,-3.92,-2.16,0.565
125,-3.92,-2.08,0.522
126,-3.92,-2,0.492
127,-3.92,-1.92,0.455
128,-3.92,-1.84,0.425
129,-3.92,-1.76,0.369
130,-3.92,-1.68,0.383
131,-3.92,-1.6,0.319
132,-3.92,-1.52,0.284
133,-3.92,-1.44,0.245
134,-3.92,-1.36,0.22
135,-3.92,-1.28,0.222
136,-3.92,-1.2,0.21
137,-3.92,-1.12,0.196
138,-3.92,-1.04,0.166
139,-3.92,-0.96,0.193
140,-3.92,-0.88,0.147
141,-3.92,-0.8,0.147
142,-3.92,-0.72,0.155
143,-3.92,-0.64,0.125
144,-3.92,-0.56,0.119
145,-3.92,-0.48,0.122
146,-3.92,-0.4,0.115
147,-3.92,-0.32,0.124
148,-3.92,-0.24,0.11
149,-3.92,-0.16,0.133
150,-3.92,-0.08,0.106
151,-3.92,0,0.113
152,-3.92,0.08,0.108
153,-3.92,0.16,0.119
154,-3.92,0.24,0.108
155,-3.92,0.32,0.106
156,-3.92,0.4,0.116
157,-3.92,0.48,0.101
158,-3.92,0.56,0.105
159,-3.92,0.64,0.109
160,-3.92,0.72,0.095
161,-3.92,0.8,0.088
162,-3.92,0.88,0.111
163,-3.92,0.96,0.096
164,-3.92,1.04,0.121
165,-3.92,1.12,0.099
166,-3.92,1.2,0.104
167,-3.92,1.28,0.122
168,-3.92,1.36,0.104
169,-3.92,1.44,0.071
