sigx,sigh,success_rate
0.0,0.0,0.102
3.72,0.28,0.441
1.36,0.24,0.822
2.36,0.04,0.46
3.4,0.6,0.493
3.04,0.16,0.434
2.04,0.36,0.67
1.04,0.56,0.858
2.72,0.48,0.555
2.4,0.8,0.694
3.08,0.92,0.578
0.68,0.12,0.839
0.36,0.44,0.703
1.72,0.68,0.832
0.72,0.88,0.807
0.04,0.76,0.176
0.04,0.0,0.232
3.76,0.28,0.405
3.44,0.6,0.503
2.4,0.04,0.43
1.4,0.24,0.78
2.08,0.36,0.687
2.76,0.48,0.566
0.08,0.0,0.22
3.08,0.16,0.459
1.08,0.56,0.853
2.44,0.8,0.685
3.12,0.92,0.585
0.72,0.12,0.836
1.76,0.68,0.814
0.4,0.44,0.737
3.8,0.28,0.411
0.08,0.76,0.289
0.76,0.88,0.83
3.84,0.28,0.376
0.12,0.0,0.203
3.48,0.6,0.484
2.48,0.8,0.689
2.44,0.04,0.441
2.12,0.36,0.637
2.8,0.48,0.57
1.44,0.24,0.799
1.12,0.56,0.866
3.12,0.16,0.462
0.76,0.12,0.85
3.16,0.92,0.613
0.44,0.44,0.75
0.12,0.76,0.394
0.8,0.88,0.822
1.8,0.68,0.808
3.88,0.28,0.424
2.52,0.8,0.67
2.48,0.04,0.456
0.16,0.0,0.233
3.52,0.6,0.501
2.84,0.48,0.547
2.16,0.36,0.644
1.48,0.24,0.78
1.16,0.56,0.87
3.2,0.92,0.584
0.8,0.12,0.859
3.16,0.16,0.412
0.48,0.44,0.762
0.16,0.76,0.432
0.84,0.88,0.837
1.84,0.68,0.762
3.92,0.28,0.402
2.56,0.8,0.659
2.52,0.04,0.432
2.88,0.48,0.562
3.56,0.6,0.504
0.2,0.0,0.249
2.2,0.36,0.609
1.88,0.68,0.767
2.6,0.8,0.655
1.52,0.24,0.765
1.2,0.56,0.885
0.84,0.12,0.873
3.24,0.92,0.568
3.2,0.16,0.433
0.52,0.44,0.772
0.2,0.76,0.52
0.88,0.88,0.828
3.96,0.28,0.412
2.92,0.48,0.525
2.56,0.04,0.418
3.6,0.6,0.514
2.64,0.8,0.648
1.92,0.68,0.776
2.24,0.36,0.635
0.24,0.0,0.248
1.56,0.24,0.76
1.24,0.56,0.861
0.88,0.12,0.886
3.28,0.92,0.579
3.24,0.16,0.427
0.56,0.44,0.799
0.24,0.76,0.595
0.92,0.88,0.844
2.96,0.48,0.547
4.0,0.28,0.373
3.64,0.6,0.485
2.68,0.8,0.625
1.96,0.68,0.754
2.6,0.04,0.414
2.28,0.36,0.645
0.28,0.0,0.2
1.6,0.24,0.75
1.28,0.56,0.852
0.92,0.12,0.87
3.32,0.92,0.57
3.28,0.16,0.416
0.6,0.44,0.805
0.28,0.76,0.619
0.96,0.88,0.85
3.0,0.48,0.514
3.68,0.6,0.494
2.0,0.68,0.759
0.0,0.32,0.098
2.32,0.36,0.606
2.72,0.8,0.635
2.64,0.04,0.412
3.32,0.16,0.428
0.32,0.0,0.242
2.04,0.68,0.764
2.36,0.36,0.606
1.64,0.24,0.746
1.32,0.56,0.855
0.96,0.12,0.828
3.36,0.92,0.568
0.64,0.44,0.815
0.32,0.76,0.673
1.0,0.88,0.857
3.04,0.48,0.516
3.72,0.6,0.446
0.04,0.32,0.189
2.76,0.8,0.634
2.68,0.04,0.401
3.36,0.16,0.425
2.4,0.36,0.604
0.36,0.0,0.24
3.4,0.92,0.542
2.08,0.68,0.744
1.68,0.24,0.71
1.36,0.56,0.85
1.0,0.12,0.868
0.68,0.44,0.834
0.36,0.76,0.688
1.04,0.88,0.867
3.08,0.48,0.498
3.76,0.6,0.466
0.08,0.32,0.31
2.8,0.8,0.612
3.4,0.16,0.435
2.72,0.04,0.395
2.44,0.36,0.571
3.44,0.92,0.536
1.08,0.88,0.878
0.4,0.76,0.706
2.12,0.68,0.735
0.4,0.0,0.249
1.72,0.24,0.724
1.4,0.56,0.842
0.72,0.44,0.832
1.04,0.12,0.843
3.12,0.48,0.493
3.8,0.6,0.462
0.12,0.32,0.42
3.48,0.92,0.56
1.12,0.88,0.861
0.44,0.76,0.716
2.84,0.8,0.61
3.44,0.16,0.377
2.76,0.04,0.424
2.48,0.36,0.569
2.16,0.68,0.71
