,muh,mux,success_rate
0,0.0,0.0,0.762
1,0.0,0.1,0.812
2,0.0,0.2,0.794
3,0.0,0.3,0.734
4,0.0,0.4,0.732
5,0.0,0.5,0.708
6,0.0,0.6,0.718
7,0.0,0.7,0.71
8,0.0,0.8,0.71
9,0.0,0.9,0.72
10,0.0,1.0,0.734
11,0.0,1.1,0.744
12,0.0,1.2,0.74
13,0.0,1.3,0.682
14,0.0,1.4,0.658
15,0.0,1.5,0.618
16,0.0,1.6,0.57
17,0.0,1.7,0.506
18,0.0,1.8,0.478
19,0.0,1.9,0.432
20,0.0,2.0,0.356
21,0.0,2.1,0.36
22,0.0,2.2,0.332
23,0.0,2.3,0.278
24,0.0,2.4,0.298
25,0.0,2.5,0.266
26,0.0,2.6,0.21
27,0.0,2.7,0.232
28,0.0,2.8,0.196
29,0.0,2.9,0.2
30,0.0,3.0,0.178
31,0.0,3.1,0.162
32,0.0,3.2,0.156
33,0.0,3.3,0.15
34,0.0,3.4,0.122
35,0.0,3.5,0.106
36,0.0,3.6,0.116
37,0.0,3.7,0.12
38,0.0,3.8,0.132
39,0.0,3.9,0.114
40,0.0,4.0,0.094
41,0.0,4.1,0.106
42,0.0,4.2,0.07
43,0.0,4.3,0.13
44,0.0,4.4,0.102
45,0.0,4.5,0.094
46,0.0,4.6,0.098
47,0.0,4.7,0.114
48,0.0,4.8,0.116
49,0.0,4.9,0.094
50,0.0,5.0,0.114
51,0.1,0.0,0.76
52,0.1,0.1,0.768
53,0.1,0.2,0.79
54,0.1,0.3,0.77
55,0.1,0.4,0.758
56,0.1,0.5,0.78
57,0.1,0.6,0.75
58,0.1,0.7,0.684
59,0.1,0.8,0.696
60,0.1,0.9,0.734
61,0.1,1.0,0.726
62,0.1,1.1,0.702
63,0.1,1.2,0.754
64,0.1,1.3,0.752
65,0.1,1.4,0.718
66,0.1,1.5,0.672
67,0.1,1.6,0.596
68,0.1,1.7,0.526
69,0.1,1.8,0.518
70,0.1,1.9,0.446
71,0.1,2.0,0.414
72,0.1,2.1,0.374
73,0.1,2.2,0.368
74,0.1,2.3,0.306
75,0.1,2.4,0.29
76,0.1,2.5,0.288
77,0.1,2.6,0.246
78,0.1,2.7,0.21
79,0.1,2.8,0.198
80,0.1,2.9,0.184
81,0.1,3.0,0.202
82,0.1,3.1,0.184
83,0.1,3.2,0.156
84,0.1,3.3,0.15
85,0.1,3.4,0.146
86,0.1,3.5,0.16
87,0.1,3.6,0.136
88,0.1,3.7,0.122
89,0.1,3.8,0.12
90,0.1,3.9,0.104
91,0.1,4.0,0.104
92,0.1,4.1,0.094
93,0.1,4.2,0.094
94,0.1,4.3,0.084
95,0.1,4.4,0.098
96,0.1,4.5,0.088
97,0.1,4.6,0.106
98,0.1,4.7,0.128
99,0.1,4.8,0.124
100,0.1,4.9,0.118
101,0.1,5.0,0.098
102,0.2,0.0,0.786
103,0.2,0.1,0.786
104,0.2,0.2,0.784
105,0.2,0.3,0.788
106,0.2,0.4,0.794
107,0.2,0.5,0.772
108,0.2,0.6,0.704
109,0.2,0.7,0.74
110,0.2,0.8,0.696
111,0.2,0.9,0.696
112,0.2,1.0,0.718
113,0.2,1.1,0.71
114,0.2,1.2,0.714
115,0.2,1.3,0.742
116,0.2,1.4,0.706
117,0.2,1.5,0.67
118,0.2,1.6,0.662
119,0.2,1.7,0.602
120,0.2,1.8,0.532
121,0.2,1.9,0.548
122,0.2,2.0,0.468
123,0.2,2.1,0.402
124,0.2,2.2,0.406
125,0.2,2.3,0.37
126,0.2,2.4,0.302
127,0.2,2.5,0.29
128,0.2,2.6,0.284
129,0.2,2.7,0.24
130,0.2,2.8,0.24
131,0.2,2.9,0.178
132,0.2,3.0,0.202
133,0.2,3.1,0.224
134,0.2,3.2,0.174
135,0.2,3.3,0.14
136,0.2,3.4,0.182
137,0.2,3.5,0.168
