,mu_h,opt,success_rate
0,-4.0,2,0.5735
1,-3.92,2,0.616
2,-3.84,2,0.627
3,-3.76,2,0.642
4,-3.68,2,0.6515
5,-3.6,2,0.676
6,-3.52,2,0.6865
7,-3.44,2,0.721
8,-3.36,2,0.7105
9,-3.2800000000000002,2,0.721
10,-3.2,2,0.7485
11,-3.12,2,0.752
12,-3.04,2,0.79
13,-2.96,2,0.788
14,-2.88,2,0.804
15,-2.8,2,0.795
16,-2.7199999999999998,2,0.8285
17,-2.6399999999999997,2,0.837
18,-2.56,2,0.8355
19,-2.48,2,0.8755
20,-2.4,2,0.863
21,-2.3200000000000003,2,0.8765
22,-2.24,2,0.883
23,-2.16,2,0.888
24,-2.08,2,0.904
25,-2.0,2,0.918
26,-1.92,2,0.908
27,-1.8399999999999999,2,0.909
28,-1.7599999999999998,2,0.922
29,-1.6800000000000002,2,0.9225
30,-1.6,2,0.911
31,-1.52,2,0.9415
32,-1.44,2,0.93
33,-1.3599999999999999,2,0.9465
34,-1.2799999999999998,2,0.939
35,-1.1999999999999997,2,0.936
36,-1.12,2,0.943
37,-1.04,2,0.949
38,-0.96,2,0.943
39,-0.8799999999999999,2,0.9395
40,-0.7999999999999998,2,0.9415
41,-0.7199999999999998,2,0.9435
42,-0.6400000000000001,2,0.9375
43,-0.56,2,0.9395
44,-0.48,2,0.9335
45,-0.3999999999999999,2,0.9455
46,-0.31999999999999984,2,0.9325
47,-0.23999999999999977,2,0.947
48,-0.16000000000000014,2,0.944
49,-0.08000000000000007,2,0.9535
50,0.0,2,0.9435
51,0.08000000000000007,2,0.953
52,0.16000000000000014,2,0.9465
53,0.2400000000000002,2,0.9435
54,0.3200000000000003,2,0.944
55,0.40000000000000036,2,0.9425
56,0.4800000000000004,2,0.939
57,0.5600000000000005,2,0.9455
58,0.6399999999999997,2,0.9425
59,0.7199999999999998,2,0.942
60,0.7999999999999998,2,0.9395
61,0.8799999999999999,2,0.95
62,0.96,2,0.9415
63,1.04,2,0.9455
64,1.12,2,0.9445
65,1.2000000000000002,2,0.9375
66,1.2800000000000002,2,0.942
67,1.3600000000000003,2,0.931
68,1.4400000000000004,2,0.9345
69,1.5200000000000005,2,0.934
70,1.6000000000000005,2,0.9345
71,1.6799999999999997,2,0.918
72,1.7599999999999998,2,0.9235
73,1.8399999999999999,2,0.9105
74,1.92,2,0.9045
75,2.0,2,0.901
76,2.08,2,0.8995
77,2.16,2,0.8955
78,2.24,2,0.8605
79,2.3200000000000003,2,0.869
80,2.4000000000000004,2,0.8725
81,2.4800000000000004,2,0.8395
82,2.5600000000000005,2,0.842
83,2.6400000000000006,2,0.836
84,2.7199999999999998,2,0.834
85,2.8,2,0.8195
86,2.88,2,0.8125
87,2.96,2,0.7985
88,3.04,2,0.775
89,3.12,2,0.7655
90,3.2,2,0.752
91,3.2800000000000002,2,0.7225
92,3.3600000000000003,2,0.738
93,3.4400000000000004,2,0.699
94,3.5200000000000005,2,0.6975
95,3.6000000000000005,2,0.6685
96,3.6799999999999997,2,0.6605
97,3.76,2,0.644
98,3.84,2,0.6205
99,3.92,2,0.6125
100,4.0,2,0.5825
101,-4.0,10,0.106
102,-3.92,10,0.1185
103,-3.84,10,0.1145
104,-3.76,10,0.121
105,-3.68,10,0.1265
106,-3.6,10,0.119
107,-3.52,10,0.1265
108,-3.44,10,0.131
109,-3.36,10,0.1475
110,-3.2800000000000002,10,0.16
111,-3.2,10,0.147
112,-3.12,10,0.1815
113,-3.04,10,0.163
114,-2.96,10,0.178
115,-2.88,10,0.1885
116,-2.8,10,0.1905
117,-2.7199999999999998,10,0.217
118,-2.6399999999999997,10,0.2295
119,-2.56,10,0.2395
120,-2.48,10,0.2595
121,-2.4,10,0.2715
