,mum,nop,success_rate
0,1,2,0.9455
1,2,2,0.9485
2,3,2,0.9505
3,4,2,0.951
4,5,2,0.9495
5,6,2,0.955
6,7,2,0.9615
7,8,2,0.9535
8,9,2,0.9445
9,10,2,0.9505
10,11,2,0.9465
11,12,2,0.938
12,13,2,0.9495
13,14,2,0.949
14,15,2,0.9445
15,16,2,0.9515
16,17,2,0.9475
17,18,2,0.952
18,19,2,0.9585
19,20,2,0.943
20,21,2,0.9465
21,22,2,0.9505
22,23,2,0.9615
23,24,2,0.948
24,25,2,0.9605
25,26,2,0.947
26,27,2,0.9525
27,28,2,0.948
28,29,2,0.9475
29,30,2,0.9565
30,31,2,0.9525
31,32,2,0.9495
32,33,2,0.955
33,34,2,0.959
34,35,2,0.949
35,36,2,0.951
36,37,2,0.9485
37,38,2,0.9555
38,39,2,0.9585
39,40,2,0.944
40,41,2,0.9605
41,42,2,0.9475
42,43,2,0.9595
43,44,2,0.9545
44,45,2,0.9605
45,46,2,0.9585
46,47,2,0.96
47,48,2,0.969
48,49,2,0.9555
49,50,2,0.9555
50,51,2,0.954
51,52,2,0.9555
52,53,2,0.9525
53,54,2,0.9565
54,55,2,0.964
55,56,2,0.966
56,57,2,0.9525
57,58,2,0.962
58,59,2,0.9585
59,60,2,0.957
60,61,2,0.9575
61,62,2,0.9625
62,63,2,0.9595
63,64,2,0.9545
64,65,2,0.9545
65,66,2,0.954
66,67,2,0.96
67,68,2,0.959
68,69,2,0.9545
69,70,2,0.9535
70,71,2,0.9545
71,72,2,0.9595
72,73,2,0.952
73,74,2,0.954
74,75,2,0.9575
75,76,2,0.9535
76,77,2,0.954
77,78,2,0.9535
78,79,2,0.962
79,80,2,0.949
80,81,2,0.9575
81,82,2,0.968
82,83,2,0.949
83,84,2,0.961
84,85,2,0.946
85,86,2,0.964
86,87,2,0.963
87,88,2,0.969
88,89,2,0.959
89,90,2,0.949
90,91,2,0.957
91,92,2,0.967
92,93,2,0.953
93,94,2,0.966
94,95,2,0.949
95,96,2,0.9545
96,97,2,0.955
97,98,2,0.9565
98,99,2,0.96
99,100,2,0.9595
100,1,10,0.7815
101,2,10,0.7915
102,3,10,0.786
103,4,10,0.7795
104,5,10,0.789
105,6,10,0.7895
106,7,10,0.802
107,8,10,0.791
108,9,10,0.7905
109,10,10,0.777
110,11,10,0.7935
111,12,10,0.7925
112,13,10,0.782
113,14,10,0.782
114,15,10,0.7875
115,16,10,0.7915
116,17,10,0.7975
117,18,10,0.812
118,19,10,0.7885
119,20,10,0.8115
120,21,10,0.803
121,22,10,0.7885
122,23,10,0.8095
123,24,10,0.8115
124,25,10,0.8035
125,26,10,0.8045
126,27,10,0.828
127,28,10,0.803
128,29,10,0.799
129,30,10,0.795
130,31,10,0.8065
131,32,10,0.7955
132,33,10,0.8145
133,34,10,0.8045
134,35,10,0.8235
135,36,10,0.812
136,37,10,0.8025
137,38,10,0.8045
138,39,10,0.8035
139,40,10,0.8065
140,41,10,0.817
141,42,10,0.816
142,43,10,0.8175
143,44,10,0.802
144,45,10,0.8215
145,46,10,0.821
146,47,10,0.8235
147,48,10,0.803
148,49,10,0.822
149,50,10,0.828
150,51,10,0.8145
151,52,10,0.8235
152,53,10,0.8185
153,54,10,0.827
154,55,10,0.8175
155,56,10,0.839
156,57,10,0.8145
157,58,10,0.8225
158,59,10,0.8365
159,60,10,0.821
160,61,10,0.827
161,62,10,0.826
162,63,10,0.8125
163,64,10,0.8305
164,65,10,0.8265
165,66,10,0.8285
166,67,10,0.83
167,68,10,0.833
168,69,10,0.834
169,70,10,0.837
170,71,10,0.8205
171,72,10,0.8225
172,73,10,0.819
173,74,10,0.8385
174,75,10,0.831
175,76,10,0.8235
176,77,10,0.8255
177,78,10,0.8305
178,79,10,0.84
179,80,10,0.816
180,81,10,0.8465
181,82,10,0.8365
182,83,10,0.825
183,84,10,0.825
184,85,10,0.8255
185,86,10,0.827
186,87,10,0.833
187,88,10,0.8155
188,89,10,0.83
189,90,10,0.835
190,91,10,0.825
191,92,10,0.84
192,93,10,0.831
193,94,10,0.829
194,95,10,0.838
195,96,10,0.8305
196,97,10,0.8395
197,98,10,0.8415
198,99,10,0.843
199,100,10,0.836
