,muh,mux,success_rate
0,-4.0,-4.0,0.779
1,-4.0,-3.92,0.788
2,-4.0,-3.84,0.763
3,-4.0,-3.76,0.759
4,-4.0,-3.68,0.749
5,-4.0,-3.6,0.743
6,-4.0,-3.52,0.732
7,-4.0,-3.44,0.707
8,-4.0,-3.36,0.683
9,-4.0,-3.28,0.7
10,-4.0,-3.2,0.691
11,-4.0,-3.12,0.716
12,-4.0,-3.04,0.697
13,-4.0,-2.96,0.724
14,-4.0,-2.88,0.739
15,-4.0,-2.8,0.751
16,-4.0,-2.72,0.699
17,-4.0,-2.64,0.647
18,-4.0,-2.56,0.625
19,-4.0,-2.48,0.601
20,-4.0,-2.4,0.553
21,-4.0,-2.32,0.491
22,-4.0,-2.24,0.519
23,-4.0,-2.16,0.462
24,-4.0,-2.08,0.412
25,-4.0,-2.0,0.378
26,-4.0,-1.92,0.341
27,-4.0,-1.84,0.338
28,-4.0,-1.76,0.332
29,-4.0,-1.68,0.291
30,-4.0,-1.6,0.283
31,-4.0,-1.52,0.231
32,-4.0,-1.44,0.226
33,-4.0,-1.36,0.232
34,-4.0,-1.28,0.231
35,-4.0,-1.2,0.179
36,-4.0,-1.12,0.199
37,-4.0,-1.04,0.169
38,-4.0,-0.96,0.188
39,-4.0,-0.88,0.162
40,-4.0,-0.8,0.146
41,-4.0,-0.72,0.163
42,-4.0,-0.64,0.145
43,-4.0,-0.56,0.133
44,-4.0,-0.48,0.124
45,-4.0,-0.4,0.141
46,-4.0,-0.32,0.135
47,-4.0,-0.24,0.129
48,-4.0,-0.16,0.107
49,-4.0,-0.08,0.108
50,-4.0,0.0,0.122
51,-4.0,0.08,0.111
52,-4.0,0.16,0.091
53,-4.0,0.24,0.108
54,-4.0,0.32,0.091
55,-4.0,0.4,0.086
56,-4.0,0.48,0.109
57,-4.0,0.56,0.089
58,-4.0,0.64,0.113
59,-4.0,0.72,0.104
60,-4.0,0.8,0.122
61,-4.0,0.88,0.096
62,-4.0,0.96,0.1
63,-4.0,1.04,0.095
64,-4.0,1.12,0.086
65,-4.0,1.2,0.109
66,-4.0,1.28,0.097
67,-4.0,1.36,0.112
68,-4.0,1.44,0.082
69,-4.0,1.52,0.11
70,-4.0,1.6,0.101
71,-4.0,1.68,0.105
72,-4.0,1.76,0.105
73,-4.0,1.84,0.094
74,-4.0,1.92,0.092
75,-4.0,2.0,0.105
76,-4.0,2.08,0.102
77,-4.0,2.16,0.095
78,-4.0,2.24,0.094
79,-4.0,2.32,0.095
80,-4.0,2.4,0.094
81,-4.0,2.48,0.1
82,-4.0,2.56,0.088
83,-4.0,2.64,0.109
84,-4.0,2.72,0.112
85,-4.0,2.8,0.108
86,-4.0,2.88,0.097
87,-4.0,2.96,0.091
88,-4.0,3.04,0.106
89,-4.0,3.12,0.126
90,-4.0,3.2,0.112
91,-4.0,3.28,0.102
92,-4.0,3.36,0.107
93,-4.0,3.44,0.091
94,-4.0,3.52,0.087
95,-4.0,3.6,0.107
96,-4.0,3.68,0.103
97,-4.0,3.76,0.1
98,-4.0,3.84,0.094
99,-4.0,3.92,0.109
100,-4.0,4.0,0.094
101,-3.92,-4.0,0.772
102,-3.92,-3.92,0.789
103,-3.92,-3.84,0.791
104,-3.92,-3.76,0.76
105,-3.92,-3.68,0.772
106,-3.92,-3.6,0.764
107,-3.92,-3.52,0.747
108,-3.92,-3.44,0.691
109,-3.92,-3.36,0.717
110,-3.92,-3.28,0.725
111,-3.92,-3.2,0.703
112,-3.92,-3.12,0.679
113,-3.92,-3.04,0.712
114,-3.92,-2.96,0.732
115,-3.92,-2.88,0.736
116,-3.92,-2.8,0.749
117,-3.92,-2.72,0.771
118,-3.92,-2.64,0.692
119,-3.92,-2.56,0.676
120,-3.92,-2.48,0.638
121,-3.92,-2.4,0.585
122,-3.92,-2.32,0.568
123,-3.92,-2.24,0.531
124,-3.92,-2.16,0.489
125,-3.92,-2.08,0.465
126,-3.92,-2.0,0.4
127,-3.92,-1.92,0.382
128,-3.92,-1.84,0.338
129,-3.92,-1.76,0.317
130,-3.92,-1.68,0.332
131,-3.92,-1.6,0.286
132,-3.92,-1.52,0.284
133,-3.92,-1.44,0.252
134,-3.92,-1.36,0.259
135,-3.92,-1.28,0.23
136,-3.92,-1.2,0.195
137,-3.92,-1.12,0.201
138,-3.92,-1.04,0.208
139,-3.92,-0.96,0.179
140,-3.92,-0.88,0.153
141,-3.92,-0.8,0.165
142,-3.92,-0.72,0.153
143,-3.92,-0.64,0.181
144,-3.92,-0.56,0.152
145,-3.92,-0.48,0.158
146,-3.92,-0.4,0.148
147,-3.92,-0.32,0.131
148,-3.92,-0.24,0.121
149,-3.92,-0.16,0.137
150,-3.92,-0.08,0.123
151,-3.92,0.0,0.102
152,-3.92,0.08,0.118
153,-3.92,0.16,0.1
154,-3.92,0.24,0.114
155,-3.92,0.32,0.104
156,-3.92,0.4,0.102
157,-3.92,0.48,0.093
158,-3.92,0.56,0.088
159,-3.92,0.64,0.105
160,-3.92,0.72,0.09
161,-3.92,0.8,0.092
162,-3.92,0.88,0.12
163,-3.92,0.96,0.1
164,-3.92,1.04,0.11
165,-3.92,1.12,0.115
166,-3.92,1.2,0.098
167,-3.92,1.28,0.117
168,-3.92,1.36,0.104
169,-3.92,1.44,0.086
170,-3.92,1.52,0.106
171,-3.92,1.6,0.092
172,-3.92,1.68,0.082
173,-3.92,1.76,0.091
174,-3.92,1.84,0.103
175,-3.92,1.92,0.1
176,-3.92,2.0,0.107
177,-3.92,2.08,0.097
178,-3.92,2.16,0.091
179,-3.92,2.24,0.082
180,-3.92,2.32,0.096
181,-3.92,2.4,0.102
182,-3.92,2.48,0.109
183,-3.92,2.56,0.097
184,-3.92,2.64,0.119
185,-3.92,2.72,0.086
186,-3.92,2.8,0.096
187,-3.92,2.88,0.088
188,-3.92,2.96,0.077
189,-3.92,3.04,0.116
190,-3.92,3.12,0.109
191,-3.92,3.2,0.098
192,-3.92,3.28,0.104
193,-3.92,3.36,0.091
194,-3.92,3.44,0.103
195,-3.92,3.52,0.097
196,-3.92,3.6,0.104
197,-3.92,3.68,0.114
198,-3.92,3.76,0.091
199,-3.92,3.84,0.097
200,-3.92,3.92,0.11
201,-3.92,4.0,0.093
202,-3.84,-4.0,0.787
203,-3.84,-3.92,0.755
204,-3.84,-3.84,0.78
205,-3.84,-3.76,0.786
206,-3.84,-3.68,0.782
207,-3.84,-3.6,0.775
208,-3.84,-3.52,0.729
209,-3.84,-3.44,0.749
210,-3.84,-3.36,0.719
211,-3.84,-3.28,0.697
212,-3.84,-3.2,0.677
213,-3.84,-3.12,0.698
214,-3.84,-3.04,0.698
215,-3.84,-2.96,0.713
216,-3.84,-2.88,0.743
217,-3.84,-2.8,0.748
218,-3.84,-2.72,0.738
219,-3.84,-2.64,0.767
220,-3.84,-2.56,0.693
221,-3.84,-2.48,0.647
222,-3.84,-2.4,0.624
223,-3.84,-2.32,0.596
224,-3.84,-2.24,0.56
225,-3.84,-2.16,0.517
226,-3.84,-2.08,0.48
227,-3.84,-2.0,0.455
228,-3.84,-1.92,0.422
229,-3.84,-1.84,0.396
230,-3.84,-1.76,0.347
231,-3.84,-1.68,0.315
232,-3.84,-1.6,0.308
233,-3.84,-1.52,0.312
234,-3.84,-1.44,0.29
235,-3.84,-1.36,0.225
236,-3.84,-1.28,0.229
237,-3.84,-1.2,0.223
238,-3.84,-1.12,0.203
239,-3.84,-1.04,0.204
240,-3.84,-0.96,0.175
241,-3.84,-0.88,0.17
242,-3.84,-0.8,0.166
243,-3.84,-0.72,0.135
244,-3.84,-0.64,0.149
245,-3.84,-0.56,0.158
246,-3.84,-0.48,0.137
247,-3.84,-0.4,0.132
248,-3.84,-0.32,0.125
249,-3.84,-0.24,0.14
250,-3.84,-0.16,0.141
251,-3.84,-0.08,0.135
252,-3.84,0.0,0.115
253,-3.84,0.08,0.118
254,-3.84,0.16,0.117
255,-3.84,0.24,0.125
256,-3.84,0.32,0.1
257,-3.84,0.4,0.113
258,-3.84,0.48,0.1
259,-3.84,0.56,0.102
260,-3.84,0.64,0.088
261,-3.84,0.72,0.102
262,-3.84,0.8,0.098
263,-3.84,0.88,0.111
264,-3.84,0.96,0.094
265,-3.84,1.04,0.096
266,-3.84,1.12,0.097
267,-3.84,1.2,0.1
268,-3.84,1.28,0.094
269,-3.84,1.36,0.105
270,-3.84,1.44,0.111
271,-3.84,1.52,0.092
272,-3.84,1.6,0.08
273,-3.84,1.68,0.08
274,-3.84,1.76,0.099
275,-3.84,1.84,0.102
276,-3.84,1.92,0.118
277,-3.84,2.0,0.112
278,-3.84,2.08,0.099
279,-3.84,2.16,0.105
280,-3.84,2.24,0.107
281,-3.84,2.32,0.1
282,-3.84,2.4,0.12
283,-3.84,2.48,0.095
284,-3.84,2.56,0.094
285,-3.84,2.64,0.098
286,-3.84,2.72,0.119
287,-3.84,2.8,0.099
288,-3.84,2.88,0.095
289,-3.84,2.96,0.117
290,-3.84,3.04,0.092
291,-3.84,3.12,0.11
292,-3.84,3.2,0.108
293,-3.84,3.28,0.097
294,-3.84,3.36,0.107
295,-3.84,3.44,0.105
296,-3.84,3.52,0.096
297,-3.84,3.6,0.109
298,-3.84,3.68,0.092
299,-3.84,3.76,0.098
300,-3.84,3.84,0.094
301,-3.84,3.92,0.109
302,-3.84,4.0,0.109
303,-3.76,-4.0,0.778
304,-3.76,-3.92,0.762
305,-3.76,-3.84,0.755
306,-3.76,-3.76,0.806
307,-3.76,-3.68,0.805
308,-3.76,-3.6,0.792
309,-3.76,-3.52,0.766
310,-3.76,-3.44,0.756
311,-3.76,-3.36,0.74
312,-3.76,-3.28,0.719
313,-3.76,-3.2,0.719
314,-3.76,-3.12,0.712
315,-3.76,-3.04,0.7
316,-3.76,-2.96,0.681
317,-3.76,-2.88,0.714
318,-3.76,-2.8,0.717
