,muh,nop,success_rate
0,0,1,1.0
1,0,2,0.946
2,0,3,0.908
3,0,4,0.9095
4,0,5,0.854
5,0,6,0.8445
6,0,7,0.8435
7,0,8,0.822
8,0,9,0.7865
9,0,10,0.786
10,0,11,0.7755
11,0,12,0.7575
12,0,13,0.7275
13,0,14,0.726
14,0,15,0.7105
15,0,16,0.687
16,0,17,0.6975
17,0,18,0.6895
18,0,19,0.681
19,0,20,0.6575
20,0,21,0.6645
21,0,22,0.643
22,0,23,0.633
23,0,24,0.614
24,0,25,0.615
25,0,26,0.596
26,0,27,0.589
27,0,28,0.5895
28,0,29,0.5555
29,0,30,0.5795
30,0,31,0.5525
31,0,32,0.546
32,0,33,0.5395
33,0,34,0.534
34,0,35,0.556
35,0,36,0.522
36,0,37,0.523
37,0,38,0.533
38,0,39,0.517
39,0,40,0.507
40,0,41,0.478
41,0,42,0.4925
42,0,43,0.475
43,0,44,0.4655
44,0,45,0.472
45,0,46,0.4515
46,0,47,0.467
47,0,48,0.4735
48,0,49,0.4525
49,0,50,0.451
50,2,1,1.0
51,2,2,0.9105
52,2,3,0.898
53,2,4,0.882
54,2,5,0.8665
55,2,6,0.8465
56,2,7,0.821
57,2,8,0.8075
58,2,9,0.7955
59,2,10,0.7785
60,2,11,0.7625
61,2,12,0.746
62,2,13,0.746
63,2,14,0.72
64,2,15,0.6855
65,2,16,0.6965
66,2,17,0.692
67,2,18,0.67
68,2,19,0.6335
69,2,20,0.6325
70,2,21,0.621
71,2,22,0.5965
72,2,23,0.6095
73,2,24,0.5935
74,2,25,0.5865
75,2,26,0.584
76,2,27,0.5685
77,2,28,0.567
78,2,29,0.5535
79,2,30,0.5425
80,2,31,0.5415
81,2,32,0.5425
82,2,33,0.5105
83,2,34,0.4865
84,2,35,0.5005
85,2,36,0.5
86,2,37,0.4955
87,2,38,0.4915
88,2,39,0.4615
89,2,40,0.4945
90,2,41,0.4905
91,2,42,0.4725
92,2,43,0.473
93,2,44,0.449
94,2,45,0.455
95,2,46,0.445
96,2,47,0.422
97,2,48,0.437
98,2,49,0.4285
99,2,50,0.434
100,4,1,1.0
101,4,2,0.579
102,4,3,0.512
103,4,4,0.4685
104,4,5,0.4835
105,4,6,0.4995
106,4,7,0.5085
107,4,8,0.5465
108,4,9,0.527
109,4,10,0.571
110,4,11,0.5585
111,4,12,0.547
112,4,13,0.5915
113,4,14,0.5765
114,4,15,0.575
115,4,16,0.5805
116,4,17,0.595
117,4,18,0.582
118,4,19,0.5845
119,4,20,0.5805
120,4,21,0.5585
121,4,22,0.5605
122,4,23,0.539
123,4,24,0.5635
124,4,25,0.5545
125,4,26,0.546
126,4,27,0.544
127,4,28,0.5485
128,4,29,0.529
129,4,30,0.5225
130,4,31,0.5035
131,4,32,0.5085
132,4,33,0.4975
133,4,34,0.498
134,4,35,0.4945
135,4,36,0.482
136,4,37,0.5
137,4,38,0.4445
138,4,39,0.47
139,4,40,0.449
140,4,41,0.435
141,4,42,0.446
142,4,43,0.4445
143,4,44,0.428
144,4,45,0.4275
145,4,46,0.4085
146,4,47,0.435
147,4,48,0.4265
148,4,49,0.4375
149,4,50,0.4075
