,maj,q_not_reached,quo,sigm,success_rate
0,0.108,1.0,1,0,0.0
1,0.104,1.0,2,0,0.0
2,0.096,1.0,3,0,0.0
3,0.108,1.0,4,0,0.0
4,0.104,1.0,5,0,0.0
5,0.096,1.0,6,0,0.0
6,0.108,1.0,7,0,0.0
7,0.104,1.0,8,0,0.0
8,0.096,1.0,9,0,0.0
9,0.108,1.0,10,0,0.0
10,0.104,1.0,11,0,0.0
11,0.096,1.0,12,0,0.0
12,0.108,1.0,13,0,0.0
13,0.104,1.0,14,0,0.0
14,0.096,1.0,15,0,0.0
15,0.108,1.0,16,0,0.0
16,0.104,1.0,17,0,0.0
17,0.096,1.0,18,0,0.0
18,0.108,1.0,19,0,0.0
19,0.104,1.0,20,0,0.0
20,0.096,1.0,21,0,0.0
21,0.108,1.0,22,0,0.0
22,0.104,1.0,23,0,0.0
23,0.096,1.0,24,0,0.0
24,0.108,1.0,25,0,0.0
25,0.104,1.0,26,0,0.0
26,0.096,1.0,27,0,0.0
27,0.108,1.0,28,0,0.0
28,0.104,1.0,29,0,0.0
29,0.096,1.0,30,0,0.0
30,0.108,1.0,31,0,0.0
31,0.104,1.0,32,0,0.0
32,0.096,1.0,33,0,0.0
33,0.108,1.0,34,0,0.0
34,0.104,1.0,35,0,0.0
35,0.096,1.0,36,0,0.0
36,0.108,1.0,37,0,0.0
37,0.104,1.0,38,0,0.0
38,0.096,1.0,39,0,0.0
39,0.108,1.0,40,0,0.0
40,0.104,1.0,41,0,0.0
41,0.096,1.0,42,0,0.0
42,0.108,1.0,43,0,0.0
43,0.104,1.0,44,0,0.0
44,0.096,1.0,45,0,0.0
45,0.108,1.0,46,0,0.0
46,0.104,1.0,47,0,0.0
47,0.096,1.0,48,0,0.0
48,0.108,1.0,49,0,0.0
49,0.104,1.0,50,0,0.0
50,0.096,1.0,51,0,0.0
51,0.108,1.0,52,0,0.0
52,0.104,1.0,53,0,0.0
53,0.096,1.0,54,0,0.0
54,0.108,1.0,55,0,0.0
55,0.104,1.0,56,0,0.0
56,0.096,1.0,57,0,0.0
57,0.108,1.0,58,0,0.0
58,0.104,1.0,59,0,0.0
59,0.096,1.0,60,0,0.0
60,0.094,1.0,61,0,0.0
61,0.108,1.0,62,0,0.0
62,0.097,1.0,63,0,0.0
63,0.094,1.0,64,0,0.0
64,0.108,1.0,65,0,0.0
65,0.097,1.0,66,0,0.0
66,0.094,1.0,67,0,0.0
67,0.108,1.0,68,0,0.0
68,0.097,1.0,69,0,0.0
69,0.094,1.0,70,0,0.0
70,0.108,1.0,71,0,0.0
71,0.097,1.0,72,0,0.0
72,0.094,1.0,73,0,0.0
73,0.108,1.0,74,0,0.0
74,0.097,1.0,75,0,0.0
75,0.094,1.0,76,0,0.0
76,0.108,1.0,77,0,0.0
77,0.097,1.0,78,0,0.0
78,0.094,1.0,79,0,0.0
79,0.108,1.0,80,0,0.0
80,0.097,1.0,81,0,0.0
81,0.094,1.0,82,0,0.0
82,0.108,1.0,83,0,0.0
83,0.097,1.0,84,0,0.0
84,0.094,1.0,85,0,0.0
85,0.108,1.0,86,0,0.0
86,0.097,1.0,87,0,0.0
87,0.094,1.0,88,0,0.0
88,0.108,1.0,89,0,0.0
89,0.097,1.0,90,0,0.0
90,0.094,1.0,91,0,0.0
91,0.108,1.0,92,0,0.0
92,0.097,1.0,93,0,0.0
93,0.094,1.0,94,0,0.0
94,0.108,1.0,95,0,0.0
95,0.097,1.0,96,0,0.0
96,0.094,1.0,97,0,0.0
97,0.108,1.0,98,0,0.0
98,0.097,1.0,99,0,0.0
99,0.094,1.0,100,0,0.0
100,0.317,0.0,1,30,0.134
101,0.304,0.001,2,30,0.127
102,0.319,0.026,3,30,0.101
103,0.285,0.095,4,30,0.085
104,0.297,0.273,5,30,0.078
105,0.312,0.515,6,30,0.046
106,0.272,0.751,7,30,0.026
107,0.304,0.928,8,30,0.005
108,0.312,1.0,9,30,0.0
109,0.272,1.0,10,30,0.0
110,0.304,1.0,11,30,0.0
111,0.312,1.0,12,30,0.0
112,0.272,1.0,13,30,0.0
113,0.304,1.0,14,30,0.0
114,0.312,1.0,15,30,0.0
115,0.272,1.0,16,30,0.0
116,0.304,1.0,17,30,0.0
117,0.312,1.0,18,30,0.0
118,0.272,1.0,19,30,0.0
