,opt,sigh,success_rate
0,2,0.0,0.885
1,2,0.01,0.922
2,2,0.02,0.936
3,2,0.03,0.943
4,2,0.04,0.944
5,2,0.05,0.95
6,2,0.06,0.964
7,2,0.07,0.967
8,2,0.08,0.973
9,2,0.09,0.967
10,2,0.1,0.958
11,2,0.11,0.949
12,2,0.12,0.971
13,2,0.13,0.966
14,2,0.14,0.958
15,2,0.15,0.963
16,2,0.16,0.962
17,2,0.17,0.962
18,2,0.18,0.959
19,2,0.19,0.956
20,2,0.2,0.969
21,2,0.21,0.95
22,2,0.22,0.96
23,2,0.23,0.966
24,2,0.24,0.946
25,2,0.25,0.942
26,2,0.26,0.963
27,2,0.27,0.945
28,2,0.28,0.944
29,2,0.29,0.943
30,2,0.3,0.955
31,2,0.31,0.966
32,2,0.32,0.936
33,2,0.33,0.951
34,2,0.34,0.948
35,2,0.35000000000000003,0.954
36,2,0.36,0.964
37,2,0.37,0.951
38,2,0.38,0.955
39,2,0.39,0.956
40,2,0.4,0.953
41,2,0.41000000000000003,0.944
42,2,0.42,0.949
43,2,0.43,0.946
44,2,0.44,0.956
45,2,0.45,0.947
46,2,0.46,0.95
47,2,0.47000000000000003,0.95
48,2,0.48,0.958
49,2,0.49,0.957
50,2,0.5,0.952
51,2,0.51,0.951
52,2,0.52,0.954
53,2,0.53,0.953
54,2,0.54,0.947
55,2,0.55,0.947
56,2,0.56,0.945
57,2,0.5700000000000001,0.94
58,2,0.58,0.955
59,2,0.59,0.953
60,2,0.6,0.945
61,2,0.61,0.945
62,2,0.62,0.941
63,2,0.63,0.954
64,2,0.64,0.954
65,2,0.65,0.969
66,2,0.66,0.944
67,2,0.67,0.95
68,2,0.68,0.937
69,2,0.6900000000000001,0.959
70,2,0.7000000000000001,0.943
71,2,0.71,0.956
72,2,0.72,0.949
73,2,0.73,0.957
74,2,0.74,0.95
75,2,0.75,0.966
76,2,0.76,0.96
77,2,0.77,0.945
78,2,0.78,0.96
79,2,0.79,0.945
80,2,0.8,0.951
81,2,0.81,0.954
82,2,0.8200000000000001,0.955
83,2,0.8300000000000001,0.954
84,2,0.84,0.945
85,2,0.85,0.962
86,2,0.86,0.954
87,2,0.87,0.95
88,2,0.88,0.958
89,2,0.89,0.953
90,2,0.9,0.947
91,2,0.91,0.94
92,2,0.92,0.929
93,2,0.93,0.941
94,2,0.9400000000000001,0.958
95,2,0.9500000000000001,0.928
96,2,0.96,0.946
97,2,0.97,0.95
98,2,0.98,0.936
99,2,0.99,0.952
100,2,1.0,0.944
101,2,1.01,0.949
102,2,1.02,0.954
103,2,1.03,0.946
104,2,1.04,0.948
105,2,1.05,0.933
106,2,1.06,0.949
107,2,1.07,0.954
108,2,1.08,0.942
109,2,1.09,0.934
110,2,1.1,0.936
111,2,1.11,0.94
112,2,1.12,0.943
113,2,1.1300000000000001,0.936
114,2,1.1400000000000001,0.945
115,2,1.1500000000000001,0.943
116,2,1.16,0.945
117,2,1.17,0.936
118,2,1.18,0.948
119,2,1.19,0.944
120,2,1.2,0.932
121,2,1.21,0.936
122,2,1.22,0.944
123,2,1.23,0.935
124,2,1.24,0.941
125,2,1.25,0.949
126,2,1.26,0.942
127,2,1.27,0.943
128,2,1.28,0.939
129,2,1.29,0.933
130,2,1.3,0.944
131,2,1.31,0.933
132,2,1.32,0.934
133,2,1.33,0.948
134,2,1.34,0.93
135,2,1.35,0.937
136,2,1.36,0.931
137,2,1.37,0.937
138,2,1.3800000000000001,0.942
139,2,1.3900000000000001,0.94
