,muh,sigmah,success_rate
0,-4.0,0.0,0.1
1,-4.0,0.01,0.09766666666666667
2,-4.0,0.02,0.108
3,-4.0,0.03,0.10533333333333333
4,-4.0,0.04,0.09466666666666666
5,-4.0,0.05,0.09666666666666666
6,-4.0,0.06,0.1
7,-4.0,0.07,0.10366666666666667
8,-4.0,0.08,0.091
9,-4.0,0.09,0.09966666666666667
10,-4.0,0.1,0.09833333333333333
11,-4.0,0.11,0.09466666666666666
12,-4.0,0.12,0.10133333333333333
13,-4.0,0.13,0.105
14,-4.0,0.14,0.10233333333333333
15,-4.0,0.15,0.09533333333333334
16,-4.0,0.16,0.09566666666666666
17,-4.0,0.17,0.101
18,-4.0,0.18,0.10933333333333334
19,-4.0,0.19,0.09133333333333334
20,-4.0,0.2,0.10633333333333334
21,-4.0,0.21,0.10533333333333333
22,-4.0,0.22,0.09033333333333333
23,-4.0,0.23,0.107
24,-4.0,0.24,0.09633333333333334
25,-4.0,0.25,0.09966666666666667
26,-4.0,0.26,0.10033333333333333
27,-4.0,0.27,0.09733333333333333
28,-4.0,0.28,0.09633333333333334
29,-4.0,0.29,0.094
30,-4.0,0.3,0.10066666666666667
31,-4.0,0.31,0.105
32,-4.0,0.32,0.10533333333333333
33,-4.0,0.33,0.107
34,-4.0,0.34,0.11166666666666666
35,-4.0,0.35,0.10466666666666667
36,-4.0,0.36,0.101
37,-4.0,0.37,0.089
38,-4.0,0.38,0.10533333333333333
39,-4.0,0.39,0.09733333333333333
40,-4.0,0.4,0.10366666666666667
41,-4.0,0.41,0.09366666666666666
42,-4.0,0.42,0.101
43,-4.0,0.43,0.09566666666666666
44,-4.0,0.44,0.10066666666666667
45,-4.0,0.45,0.10533333333333333
46,-4.0,0.46,0.09033333333333333
47,-4.0,0.47,0.10733333333333334
48,-4.0,0.48,0.10633333333333334
49,-4.0,0.49,0.09566666666666666
50,-4.0,0.5,0.09833333333333333
51,-4.0,0.51,0.11066666666666666
52,-4.0,0.52,0.09566666666666666
53,-4.0,0.53,0.11433333333333333
54,-4.0,0.54,0.105
55,-4.0,0.55,0.08666666666666667
56,-4.0,0.56,0.10433333333333333
57,-4.0,0.57,0.093
58,-4.0,0.58,0.09966666666666667
59,-4.0,0.59,0.097
