,sigh,sigx,success_rate
0,0.0,0.0,0.097
1,0.0,0.04,0.243
2,0.0,0.08,0.232
3,0.0,0.12,0.198
4,0.0,0.16,0.221
5,0.0,0.2,0.221
6,0.0,0.24,0.223
7,0.0,0.28,0.229
8,0.0,0.32,0.241
9,0.0,0.36,0.372
10,0.0,0.4,0.487
11,0.0,0.44,0.57
12,0.0,0.48,0.602
13,0.0,0.52,0.59
14,0.0,0.56,0.608
15,0.0,0.6,0.615
16,0.0,0.64,0.608
17,0.0,0.68,0.585
18,0.0,0.72,0.569
19,0.0,0.76,0.608
20,0.0,0.8,0.582
21,0.0,0.84,0.558
22,0.0,0.88,0.549
23,0.0,0.92,0.554
24,0.0,0.96,0.551
25,0.0,1.0,0.523
26,0.0,1.04,0.535
27,0.0,1.08,0.525
28,0.0,1.12,0.493
29,0.0,1.16,0.521
30,0.0,1.2,0.5
31,0.0,1.24,0.492
32,0.0,1.28,0.476
33,0.0,1.32,0.465
34,0.0,1.36,0.468
35,0.0,1.4,0.483
36,0.0,1.44,0.47
37,0.0,1.48,0.447
38,0.0,1.52,0.488
39,0.0,1.56,0.431
40,0.0,1.6,0.437
41,0.0,1.64,0.465
42,0.0,1.68,0.434
43,0.0,1.72,0.425
44,0.0,1.76,0.427
45,0.0,1.8,0.416
46,0.0,1.84,0.419
47,0.0,1.88,0.428
48,0.0,1.92,0.41
49,0.0,1.96,0.437
50,0.0,2.0,0.419
51,0.0,2.04,0.44
52,0.0,2.08,0.431
53,0.0,2.12,0.421
54,0.0,2.16,0.411
55,0.0,2.2,0.397
56,0.0,2.24,0.413
57,0.0,2.28,0.412
58,0.0,2.32,0.402
59,0.0,2.36,0.399
60,0.0,2.4,0.371
61,0.0,2.44,0.422
62,0.0,2.48,0.398
63,0.0,2.52,0.394
64,0.0,2.56,0.387
65,0.0,2.6,0.402
66,0.0,2.64,0.384
67,0.0,2.68,0.379
68,0.0,2.72,0.395
69,0.0,2.76,0.38
70,0.0,2.8,0.386
71,0.0,2.84,0.383
72,0.0,2.88,0.378
73,0.0,2.92,0.38
74,0.0,2.96,0.364
75,0.0,3.0,0.383
76,0.0,3.04,0.366
77,0.0,3.08,0.361
78,0.0,3.12,0.356
79,0.0,3.16,0.375
80,0.0,3.2,0.373
81,0.0,3.24,0.371
82,0.0,3.28,0.395
83,0.0,3.32,0.37
84,0.0,3.36,0.375
85,0.0,3.4,0.39
86,0.0,3.44,0.391
87,0.0,3.48,0.374
88,0.0,3.52,0.375
89,0.0,3.56,0.366
90,0.0,3.6,0.349
91,0.0,3.64,0.363
92,0.0,3.68,0.342
93,0.0,3.72,0.35
94,0.0,3.76,0.363
95,0.0,3.8,0.377
96,0.0,3.84,0.356
97,0.0,3.88,0.373
98,0.0,3.92,0.336
99,0.0,3.96,0.345
100,0.0,4.0,0.363
101,0.04,0.0,0.121
102,0.04,0.04,0.644
103,0.04,0.08,0.556
104,0.04,0.12,0.465
105,0.04,0.16,0.44
106,0.04,0.2,0.485
107,0.04,0.24,0.534
108,0.04,0.28,0.595
109,0.04,0.32,0.655
110,0.04,0.36,0.689
111,0.04,0.4,0.738
112,0.04,0.44,0.727
113,0.04,0.48,0.766
114,0.04,0.52,0.774
115,0.04,0.56,0.834
116,0.04,0.6,0.836
117,0.04,0.64,0.827
118,0.04,0.68,0.849
119,0.04,0.72,0.854
120,0.04,0.76,0.856
121,0.04,0.8,0.815
122,0.04,0.84,0.811
123,0.04,0.88,0.797
124,0.04,0.92,0.778
125,0.04,0.96,0.789
126,0.04,1.0,0.766
127,0.04,1.04,0.754
128,0.04,1.08,0.737
129,0.04,1.12,0.741
130,0.04,1.16,0.694
131,0.04,1.2,0.702
132,0.04,1.24,0.676
133,0.04,1.28,0.668
134,0.04,1.32,0.667
135,0.04,1.36,0.668
136,0.04,1.4,0.642
137,0.04,1.44,0.621
138,0.04,1.48,0.633
139,0.04,1.52,0.627
140,0.04,1.56,0.611
141,0.04,1.6,0.597
142,0.04,1.64,0.608
143,0.04,1.68,0.578
144,0.04,1.72,0.599
145,0.04,1.76,0.585
146,0.04,1.8,0.586
147,0.04,1.84,0.571
148,0.04,1.88,0.57
149,0.04,1.92,0.548
150,0.04,1.96,0.54
151,0.04,2.0,0.564
152,0.04,2.04,0.542
153,0.04,2.08,0.528
154,0.04,2.12,0.521
155,0.04,2.16,0.536
156,0.04,2.2,0.521
157,0.04,2.24,0.509
158,0.04,2.28,0.512
159,0.04,2.32,0.498
160,0.04,2.36,0.508
161,0.04,2.4,0.524
162,0.04,2.44,0.491
163,0.04,2.48,0.492
164,0.04,2.52,0.473
165,0.04,2.56,0.494
166,0.04,2.6,0.482
167,0.04,2.64,0.471
168,0.04,2.68,0.464
169,0.04,2.72,0.471
170,0.04,2.76,0.465
171,0.04,2.8,0.465
172,0.04,2.84,0.459
173,0.04,2.88,0.454
174,0.04,2.92,0.505
175,0.04,2.96,0.452
176,0.04,3.0,0.464
177,0.04,3.04,0.471
178,0.04,3.08,0.45
179,0.04,3.12,0.466
180,0.04,3.16,0.423
181,0.04,3.2,0.432
182,0.04,3.24,0.438
183,0.04,3.28,0.438
184,0.04,3.32,0.433
185,0.04,3.36,0.436
186,0.04,3.4,0.431
187,0.04,3.44,0.447
188,0.04,3.48,0.436
189,0.04,3.52,0.429
190,0.04,3.56,0.435
191,0.04,3.6,0.423
192,0.04,3.64,0.455
193,0.04,3.68,0.415
194,0.04,3.72,0.404
195,0.04,3.76,0.431
196,0.04,3.8,0.429
197,0.04,3.84,0.385
198,0.04,3.88,0.422
199,0.04,3.92,0.402
200,0.04,3.96,0.42
201,0.04,4.0,0.376
202,0.08,0.0,0.106
203,0.08,0.04,0.547
